Model,VQAv2,SQA,MME,MM-Bench,GQA,MMMU,TextVQA,OCRBench,OCRBenchv2,DocVQA,ChartQAPro,POPE,LLaVA-Wild,MM-Vet,TFLOPs
LLaVA-1.5-7B,79.41,71.05,1514.87,76.65,60.38,34.9,60.47,36.2,36.9,28.13,11.70,87.44,65.5,29.1,8.89
fixed pooling-4x,77.28,68.91,1418.32,75.51,58.06,35.3,58.73,31.8,33.0,21.55,10.69,86.39,63.2,28.3,3.16
Perceiver-4x,74.58,72.14,1384.61,75.03,54.42,33.7,57.29,29.8,32.2,18.26,10.16,83.46,58.4,28.1,3.16
DRIP-4x,77.43,70.55,1425.39,74.87,58.20,35.0,59.15,34.3,34.5,22.99,11.54,85.33,64.2,29.0,3.18
fixed pooling-8x,75.43,68.22,1309.92,74.27,56.44,35.1,56.73,29.2,30.9,17.51,11.18,85.36,61.6,27.7,2.21
Perceiver-8x,73.82,71.94,1384.35,74.69,53.51,34.3,55.96,29.6,32.0,17.34,10.75,81.31,62.3,27.8,2.21
DRIP-8x,73.96,69.26,1340.40,73.73,55.18,34.2,56.72,31.1,32.2,20.54,10.81,83.10,64.1,30.2,2.23
fixed pooling-10x,74.96,69.41,1361.73,74.27,56.29,33.3,55.99,30.3,30.0,16.97,10.61,84.63,61.7,27.6,2.01
Perceiver-10x,73.51,71.74,1343.66,75.19,53.57,34.6,56.46,28.3,30.9,16.84,10.89,82.50,64.0,27.2,2.01
DRIP-10x,74.98,69.86,1376.57,73.25,55.54,36.3,57.33,30.5,30.9,19.08,10.93,84.19,61.9,28.4,2.04
