Model,VQAv2,SQA,MME,MM-Bench,GQA,MMMU,TextVQA,OCRBench,OCRBenchv2,DocVQA,ChartQAPro,POPE,LLaVA-Wild,MM-Vet,TFLOPs
LLaVA-1.5-7B,76.75,68.42,1425.34,74.43,58.34,34.9,58.16,18.5,23.8,25.61,12.04,85.18,57.4,29.0,8.89
fixed pooling-4x,74.06,67.82,1335.40,71.72,55.67,34.3,55.74,15.7,20.9,18.78,11.10,83.75,64.1,29.9,3.16
PruMerge-4x,74.01,68.07,1408.83,73.66,55.04,34.6,54.69,14.9,20.3,16.37,10.93,81.36,61.7,27.0,3.18
DRIP-4x,74.59,69.31,1341.93,74.05,55.16,34.7,56.08,16.8,20.9,21.27,11.38,82.83,59.5,28.6,3.18
fixed pooling-8x,72.13,69.11,1280.78,71.65,53.78,34.0,54.05,14.3,19.5,16.00,10.81,82.15,50.7,25.8,2.21
PruMerge-8x,70.67,68.07,1311.21,72.33,52.01,34.3,54.46,14.6,18.4,14.28,10.48,77.53,58.8,25.3,2.22
PruneSID-8x,72.37,68.67,1280.62,73.02,54.10,33.8,53.14,13.3,18.6,12.78,10.62,79.33,57.6,26.7,2.21
DRIP-8x,72.58,68.47,1310.01,71.90,54.23,32.9,54.75,15.7,20.4,18.50,10.54,82.52,63.6,29.5,2.23
fixed pooling-10x,71.49,68.02,1359.05,72.17,53.02,34.3,53.40,13.9,19.1,15.32,11.25,82.14,57.1,26.1,2.01
PruMerge-10x,69.15,68.17,1258.86,71.40,50.90,33.6,54.01,13.7,17.9,13.76,10.09,76.40,52.5,26.7,2.02
PruneSID-10x,71.67,68.67,1297.33,73.13,53.17,33.9,52.59,13.1,18.6,12.33,10.42,78.76,55.8,25.8,2.02
DRIP-10x,71.59,69.61,1313.76,71.35,52.93,33.2,54.83,15.2,20.4,17.42,10.84,82.59,55.8,26.8,2.04
