Model,VQAv2,SQA,MME,MM-Bench,GQA,MMMU,TextVQA,OCRBench,OCRBenchv2,DocVQA,ChartQAPro,POPE,LLaVA-Wild,MM-Vet,TFLOPs
LLaVA-1.5-7B,76.75,68.42,1425.34,74.43,58.34,34.9,58.16,18.5,23.8,25.61,12.04,85.18,57.4,29.0,8.89
DRIP-4x-4x,73.93,68.72,1363.67,73.27,55.38,35.6,55.84,16.5,20.9,20.39,10.91,83.28,60.6,29.1,3.18
DRIP-8x-4x,73.51,68.82,1357.76,72.42,54.56,32.9,55.64,16.8,20.6,20.09,10.72,83.49,61.0,28.3,3.18
DRIP-10x-4x,73.26,69.06,1284.65,71.81,53.47,33.1,55.05,16.5,20.6,20.04,11.19,83.24,60.6,26.7,3.18
DRIP-8x-8x,72.11,69.36,1352.07,71.35,53.66,33.9,55.05,15.6,20.1,17.59,10.94,83.16,60.0,27.2,2.23
DRIP-4x-8x,71.38,67.82,1329.75,72.58,53.86,34.0,53.39,14.4,19.2,17.04,10.71,81.18,61.3,27.4,2.23
DRIP-10x-8x,71.68,69.41,1278.54,71.05,52.91,33.2,54.33,15.5,20.3,17.44,10.80,82.69,56.5,25.3,2.23
DRIP-10x-10x,70.86,69.46,1309.44,70.80,52.76,34.4,53.87,14.6,19.8,16.60,10.65,81.97,55.2,27.1,2.04
DRIP-4x-10x,69.95,68.32,1320.05,71.94,53.37,34.4,52.44,12.8,18.6,16.75,10.74,80.02,50.6,27.8,2.04
DRIP-8x-10x,71.40,69.51,1329.91,71.17,53.33,34.0,54.70,15.0,19.8,16.63,10.68,82.79,59.7,26.2,2.04
