Model,VQAv2,SQA,MME,MM-Bench,GQA,MMMU,TextVQA,OCRBench,OCRBenchv2,DocVQA,ChartQAPro,POPE,LLaVA-Wild,MM-Vet,TFLOPs
LLaVA-1.5-7B,75.94,66.19,1450.84,71.60,58.06,33.3,55.87,18.1,23.0,25.41,11.17,85.10,61.1,32.2,8.89
fixed pooling-4x,73.51,66.78,1355.09,71.42,55.76,34.4,53.18,15.8,21.5,18.45,9.42,84.23,61.4,30.8,3.16
PruMerge-4x,73.11,65.99,1410.31,69.98,53.97,34.1,52.18,14.2,20.3,16.17,10.57,81.82,64.6,28.6,3.18
DRIP-4x,74.11,66.78,1346.59,71.90,55.81,33.4,54.47,17.2,22.0,21.77,9.82,82.96,60.4,31.0,3.18
fixed pooling-8x,71.53,68.32,1277.98,70.00,53.53,32.9,50.95,13.4,20.2,15.85,9.28,82.65,62.4,29.1,2.21
PruMerge-8x,69.80,66.19,1291.15,68.56,51.51,33.2,51.37,14.4,18.5,14.69,10.81,78.05,58.5,28.2,2.22
DRIP-8x,72.03,67.53,1280.09,70.60,53.70,32.0,52.74,14.9,21.0,18.48,9.63,82.96,60.3,31.2,2.23
fixed pooling-10x,70.84,67.87,1249.51,70.71,53.03,32.3,50.99,13.3,19.5,14.92,8.83,82.78,58.5,27.4,2.01
PruMerge-10x,68.27,66.14,1257.86,67.81,50.46,32.9,51.16,13.8,18.2,14.07,10.54,76.81,55.0,26.5,2.02
DRIP-10x,71.15,66.93,1290.33,69.66,52.95,32.9,52.93,15.1,21.1,16.90,9.38,83.14,57.8,26.9,2.04
