Model,VQAv2,SQA,MME,MM-Bench,GQA,MMMU,TextVQA,OCRBench,OCRBenchv2,DocVQA,ChartQAPro,POPE,LLaVA-Wild,MM-Vet,TFLOPs
LLaVA-1.5-7B,76.33,67.48,1437.89,72.58,58.01,32.0,55.96,19.0,23.1,24.45,10.75,85.17,70.5,30.5,8.89
fixed pooling-4x,74.10,67.23,1428.06,72.08,56.08,32.8,54.30,15.8,21.4,18.90,10.38,83.90,70.2,30.2,3.16
PruMerge-4x,73.79,67.18,1410.93,71.37,54.43,31.6,52.77,16.0,20.4,17.16,10.21,82.36,61.4,29.8,3.18
DRIP-4x,74.57,67.58,1400.51,72.20,56.08,33.9,54.22,17.3,23.0,21.31,8.97,83.54,67.6,31.7,3.18
fixed pooling-8x,72.40,68.67,1252.21,71.10,54.08,30.9,51.93,13.8,20.4,16.00,9.37,83.55,66.5,28.8,2.21
PruMerge-8x,70.91,66.83,1361.00,69.77,51.88,32.2,51.87,15.2,19.3,15.36,10.13,78.75,62.2,29.1,2.22
DRIP-8x,72.49,67.97,1347.32,71.10,54.01,31.8,53.92,15.9,21.6,18.37,9.30,83.08,62.7,31.0,2.23
fixed pooling-10x,71.85,67.87,1281.67,71.30,53.78,32.7,51.36,13.7,20.5,15.44,8.86,83.06,66.3,27.9,2.01
PruMerge-10x,69.54,67.33,1333.20,69.50,50.99,32.8,52.00,14.3,18.7,14.95,9.76,77.64,58.9,27.9,2.02
DRIP-10x,71.86,69.21,1311.59,70.30,53.41,32.7,52.87,15.9,20.9,16.54,8.89,83.09,66.2,27.2,2.04
