Model,VQAv2,SQA,MME,MM-Bench,GQA,MMMU,TextVQA,OCRBench,OCRBenchv2,DocVQA,ChartQAPro,POPE,LLaVA-Wild,MM-Vet,TFLOPs
LLaVA-Qwen2.5-14B,77.63,76.00,1573.12,79.19,58.92,47.6,61.25,19.3,29.1,29.44,13.45,85.16,70.2,30.7,17.71
fixed pooling-4x,75.06,74.17,1510.43,78.16,55.75,48.3,59.06,17.0,26.2,21.48,12.91,83.96,66.4,27.2,5.60
PruMerge-4x,74.06,75.31,1490.82,77.93,54.60,46.4,56.95,14.9,24.6,17.19,12.56,81.79,66.5,26.0,5.62
PruneSID-4x,74.29,74.32,1487.53,78.00,54.86,47.0,56.28,14.7,24.4,15.77,11.66,83.20,68.7,26.1,5.60
DRIP-4x,74.24,73.92,1460.11,76.54,54.86,48.6,57.89,15.9,25.0,22.21,12.28,83.75,68.8,26.6,5.63
fixed pooling-8x,72.71,75.16,1422.09,77.15,54.01,47.6,55.86,14.8,24.9,17.14,12.90,83.59,64.5,24.5,3.58
PruMerge-8x,70.89,75.21,1388.75,77.02,52.59,46.9,56.23,13.9,23.1,15.29,12.29,78.73,65.5,23.9,3.61
PruneSID-8x,73.00,74.76,1434.29,77.66,54.38,47.9,56.10,14.0,23.6,14.86,12.48,83.24,66.3,25.0,3.58
DRIP-8x,73.64,75.56,1459.39,77.93,54.98,47.9,58.42,15.9,26.8,20.45,12.61,83.43,65.0,27.6,3.61
fixed pooling-10x,72.04,75.31,1427.13,76.47,54.27,47.6,55.92,13.5,24.5,15.96,13.12,83.95,65.6,23.1,3.16
PruMerge-10x,69.38,75.21,1352.54,76.42,51.53,46.9,56.29,13.8,22.9,13.77,12.19,77.34,64.6,24.5,3.18
PruneSID-10x,72.25,74.62,1441.86,77.11,53.67,48.0,55.30,12.8,23.5,14.37,11.93,82.88,67.3,24.9,3.16
DRIP-10x,72.48,76.25,1478.91,76.54,53.99,47.9,57.88,15.7,24.8,18.37,12.58,83.46,67.9,24.9,3.22
