Model,data_scale,VQAv2,SQA,MME,MM-Bench,GQA,MMMU,TextVQA,OCRBench,OCRBenchv2,DocVQA,ChartQAPro,POPE,LLaVA-Wild,MM-Vet,TFLOPs
LLaVA-1.5-7B,0.25,71.29,68.62,1230.80,69.50,51.70,34.3,55.60,16.8,22.2,24.07,10.98,85.53,62.5,27.6,8.89
LLaVA-1.5-7B,0.50,74.37,67.72,1392.79,72.31,55.67,34.3,56.43,17.9,22.7,24.84,11.26,82.20,56.2,28.4,8.89
LLaVA-1.5-7B,0.75,75.83,68.67,1407.29,73.16,58.10,34.1,57.58,17.8,22.7,24.75,11.07,85.17,63.5,29.9,8.89
LLaVA-1.5-7B,1.00,76.75,68.42,1425.34,74.43,58.34,34.9,58.16,18.5,23.8,25.61,12.04,85.18,57.4,29.0,8.89
fixed pooling-4x,0.25,69.29,67.77,1225.89,68.75,49.61,34.0,53.42,14.6,20.7,17.90,10.04,84.16,58.8,27.6,3.16
DRIP-4x,0.25,69.61,67.87,1243.45,70.39,49.70,33.6,53.79,15.9,20.8,20.77,11.08,82.92,55.6,28.9,3.18
fixed pooling-4x,0.50,71.85,68.27,1305.79,71.99,52.78,34.1,53.83,15.3,20.9,19.03,9.78,82.08,57.6,28.4,3.16
DRIP-4x,0.50,72.36,69.21,1333.46,72.81,53.13,34.7,54.62,17.7,21.5,21.40,10.90,82.95,62.5,29.6,3.18
fixed pooling-4x,0.75,73.34,67.53,1305.99,72.58,54.99,35.6,54.93,15.5,21.4,18.76,10.39,84.03,58.0,28.9,3.16
DRIP-4x,0.75,73.80,69.21,1325.60,73.59,54.73,35.7,55.60,17.6,21.6,21.31,10.69,83.60,65.7,28.1,3.18
fixed pooling-4x,1.00,74.06,67.82,1335.40,71.72,55.67,34.3,55.74,15.7,20.9,18.78,11.10,83.75,64.1,29.9,3.16
DRIP-4x,1.00,74.59,69.31,1341.93,74.05,55.16,34.7,56.08,16.8,20.9,21.27,11.38,82.83,59.5,28.6,3.18
fixed pooling-8x,0.25,66.99,68.02,1201.46,69.11,48.89,31.4,51.66,12.7,19.3,14.93,10.28,82.67,54.7,25.2,2.21
DRIP-8x,0.25,67.21,68.91,1157.58,68.52,48.70,32.4,52.80,14.5,19.9,17.70,10.21,82.69,56.2,26.3,2.23
fixed pooling-8x,0.50,69.97,67.63,1228.53,70.09,51.64,34.0,52.80,14.5,19.3,15.62,11.03,82.33,59.2,24.1,2.21
DRIP-8x,0.50,70.58,68.96,1346.94,72.22,51.65,34.2,53.07,15.7,20.1,17.98,10.74,81.80,55.0,27.2,2.23
fixed pooling-8x,0.75,71.43,67.90,1290.19,70.85,53.68,34.1,53.64,14.3,19.6,15.38,10.76,82.89,55.3,25.8,2.21
DRIP-8x,0.75,72.02,68.72,1291.54,72.81,53.59,33.9,54.08,15.8,20.4,18.15,10.32,82.72,58.3,27.3,2.23
fixed pooling-8x,1.00,72.13,69.11,1280.78,71.65,53.78,34.0,54.05,14.3,19.5,16.00,10.81,82.15,50.7,25.8,2.21
DRIP-8x,1.00,72.58,68.47,1310.01,71.90,54.23,32.9,54.75,15.7,20.4,18.50,10.54,82.52,63.6,29.5,2.23
fixed-pooling-10x,0.25,66.11,68.86,1166.00,67.90,49.14,32.2,50.76,13.0,18.3,14.80,10.58,82.52,56.3,22.8,2.01
DRIP-10x,0.25,66.12,69.76,1191.50,67.58,48.27,32.4,52.43,14.3,19.2,17.10,10.67,82.28,56.8,26.2,2.04
fixed-pooling-10x,0.50,69.27,67.03,1250.51,71.01,51.92,32.2,51.12,13.2,18.6,14.48,10.65,81.69,55.4,24.3,2.01
DRIP-10x,0.50,69.69,70.00,1276.02,71.67,51.41,34.0,53.30,14.3,19.7,17.18,10.79,82.02,55.5,27.0,2.04
fixed pooling-10x,0.75,70.59,69.16,1280.60,71.49,53.06,32.8,53.62,14.3,19.2,14.97,10.55,82.89,57.3,23.6,2.01
DRIP-10x,0.75,71.16,69.71,1266.38,71.69,52.39,33.2,54.88,15.0,19.6,17.16,10.30,82.50,58.8,28.4,2.04
fixed pooling-10x,1.00,71.49,68.02,1359.05,72.17,53.02,34.3,53.40,13.9,19.1,15.32,11.25,82.14,57.1,26.1,2.01
DRIP-10x,1.00,71.59,69.61,1313.76,71.35,52.93,33.2,54.83,15.2,20.4,17.42,10.84,82.59,55.8,26.8,2.04
