image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
0.png,DRIP,336,336,2,72,1113.0,22966.0,14112,9967,0.04846294522337368,0.1116685060700311
0.png,Fixed,336,336,2,72,978.0,23101.0,14112,9967,0.04233582961776546,0.09812380856827531
0.png,PruneSID,336,336,2,71,1810.0,22073.0,13916,9967,0.08200063425904952,0.18159927761613323
1.png,DRIP,336,336,11,72,4313.0,18512.0,14112,8713,0.2329840103716508,0.4950074601170665
1.png,Fixed,336,336,11,72,972.0,21853.0,14112,8713,0.044479018899007,0.11155744290141169
1.png,PruneSID,336,336,11,71,2775.0,19854.0,13916,8713,0.13977032336053188,0.31848961322162284
10.png,DRIP,336,336,44,73,3936.0,28939.0,14308,18567,0.13601022841148622,0.21198901276458232
10.png,Fixed,336,336,44,72,2799.0,29880.0,14112,18567,0.09367469879518073,0.15075133301017934
10.png,PruneSID,336,336,44,71,5039.0,27444.0,13916,18567,0.18361026089491328,0.2713954866160392
100.png,DRIP,336,336,14,72,1508.0,23004.0,14112,10400,0.06555381672752565,0.145
100.png,Fixed,336,336,14,72,1184.0,23328.0,14112,10400,0.05075445816186557,0.11384615384615385
100.png,PruneSID,336,336,14,71,3823.0,20493.0,13916,10400,0.1865515053920851,0.36759615384615385
1000.png,DRIP,336,336,9,73,1193.0,19680.0,14308,6565,0.060619918699186995,0.18172124904798173
1000.png,Fixed,336,336,9,72,1096.0,19581.0,14112,6565,0.0559726265257137,0.16694592536176694
1000.png,PruneSID,336,336,9,71,2162.0,18319.0,13916,6565,0.11801954255144932,0.3293221629855293
1001.png,DRIP,336,336,13,73,2456.0,22544.0,14308,10692,0.10894251242015614,0.22970445192667416
1001.png,Fixed,336,336,13,72,1598.0,23206.0,14112,10692,0.06886150133586141,0.14945753834642725
1001.png,PruneSID,336,336,13,71,3368.0,21240.0,13916,10692,0.15856873822975517,0.3150018705574261
1002.png,DRIP,336,336,25,72,5001.0,28772.0,14112,19661,0.17381481996385376,0.25436142617364327
1002.png,Fixed,336,336,25,72,2555.0,31218.0,14112,19661,0.08184380805945288,0.12995269823508468
1002.png,PruneSID,336,336,25,71,5462.0,28115.0,13916,19661,0.19427351947359062,0.27780886018005185
1003.png,DRIP,336,336,20,73,5318.0,38151.0,14308,29161,0.139393462818799,0.182366859847056
1003.png,Fixed,336,336,20,72,4000.0,39273.0,14112,29161,0.1018511445522369,0.13716950721854532
1003.png,PruneSID,336,336,20,71,7241.0,35836.0,13916,29161,0.20205938162741377,0.24831110044237167
1004.png,DRIP,336,336,42,72,3960.0,35778.0,14112,25626,0.11068254234445749,0.15453055490517442
1004.png,Fixed,336,336,42,72,3730.0,36008.0,14112,25626,0.1035880915352144,0.14555529540310622
1004.png,PruneSID,336,336,42,71,7822.0,31720.0,13916,25626,0.2465952080706179,0.3052368688051198
1005.png,DRIP,336,336,39,73,3080.0,37034.0,14308,25806,0.0831668196792137,0.11935208866155157
1005.png,Fixed,336,336,39,72,3745.0,36173.0,14112,25806,0.10353025737428469,0.1451212896225684
1005.png,PruneSID,336,336,39,71,5792.0,33930.0,13916,25806,0.17070439139404656,0.22444392776873595
1006.png,DRIP,336,336,33,73,2504.0,27034.0,14308,15230,0.0926241029814308,0.16441234405778068
1006.png,Fixed,336,336,33,72,2185.0,27157.0,14112,15230,0.08045807710719152,0.14346684175968483
1006.png,PruneSID,336,336,33,71,4785.0,24361.0,13916,15230,0.196420508189319,0.31418253447143796
1007.png,DRIP,336,336,51,72,6106.0,44751.0,14112,36745,0.13644387834908717,0.16617226833582802
1007.png,Fixed,336,336,51,72,4435.0,46422.0,14112,36745,0.09553659902632372,0.12069669342767723
1007.png,PruneSID,336,336,51,71,7884.0,42777.0,13916,36745,0.18430464969492952,0.21455980405497346
1008.png,DRIP,336,336,19,72,3221.0,23663.0,14112,12772,0.13611968051388243,0.25219229564672724
1008.png,Fixed,336,336,19,72,1738.0,25146.0,14112,12772,0.06911636045494313,0.13607892264328217
1008.png,PruneSID,336,336,19,71,3017.0,23671.0,13916,12772,0.12745553631025305,0.2362198559348575
1009.png,DRIP,336,336,133,72,6627.0,69172.0,14112,61687,0.09580466084542878,0.10742944218392854
1009.png,Fixed,336,336,133,72,7682.0,68117.0,14112,61687,0.11277654623662228,0.12453191109958338
1009.png,PruneSID,336,336,133,71,9044.0,66559.0,13916,61687,0.13587944530416624,0.14661111741533872
101.png,DRIP,336,336,7,72,1009.0,20109.0,14112,7006,0.05017653786861604,0.14401941193262918
101.png,Fixed,336,336,7,72,819.0,20299.0,14112,7006,0.040346815114045025,0.11689980017128176
101.png,PruneSID,336,336,7,71,2173.0,18749.0,13916,7006,0.11589951464078084,0.3101627176705681
1010.png,DRIP,336,336,60,72,3940.0,46077.0,14112,35905,0.08550903921696291,0.10973402033143016
1010.png,Fixed,336,336,60,72,4715.0,45302.0,14112,35905,0.10407929009756743,0.13131875783317087
1010.png,PruneSID,336,336,60,71,6003.0,43818.0,13916,35905,0.1369984937696837,0.16719119899735413
1011.png,DRIP,336,336,56,72,4034.0,39877.0,14112,29799,0.10116107029114527,0.1353736702573912
1011.png,Fixed,336,336,56,72,4010.0,39901.0,14112,29799,0.10049873436755971,0.13456827410315783
1011.png,PruneSID,336,336,56,71,6103.0,37612.0,13916,29799,0.16226204402850153,0.20480553038692573
1012.png,DRIP,336,336,44,73,4954.0,35090.0,14308,25736,0.14117982331148476,0.19249300590612373
1012.png,Fixed,336,336,44,72,3213.0,36635.0,14112,25736,0.08770301624129931,0.12484457569163818
1012.png,PruneSID,336,336,44,71,6425.0,33227.0,13916,25736,0.19336684022030276,0.24965029530618588
1013.png,DRIP,336,336,16,73,1435.0,20168.0,14308,7295,0.07115232050773503,0.19671007539410554
1013.png,Fixed,336,336,16,72,484.0,20923.0,14112,7295,0.023132437986904363,0.06634681288553804
1013.png,PruneSID,336,336,16,71,2245.0,18966.0,13916,7295,0.11836971422545609,0.30774503084304317
1014.png,DRIP,336,336,19,73,5976.0,33665.0,14308,25333,0.17751373830387643,0.23589784076106265
1014.png,Fixed,336,336,19,72,3247.0,36198.0,14112,25333,0.08970108845792585,0.12817273911498836
1014.png,PruneSID,336,336,19,71,6680.0,32569.0,13916,25333,0.20510301206668918,0.263687680101054
1015.png,DRIP,336,336,16,72,2222.0,22519.0,14112,10629,0.09867223233713752,0.2090507103208204
1015.png,Fixed,336,336,16,72,1096.0,23645.0,14112,10629,0.046352294353986044,0.10311412174240286
1015.png,PruneSID,336,336,16,71,4301.0,20244.0,13916,10629,0.21245801225054337,0.4046476620566375
1016.png,DRIP,336,336,77,72,5997.0,49469.0,14112,41354,0.12122743536356102,0.14501620157663103
1016.png,Fixed,336,336,77,72,4987.0,50479.0,14112,41354,0.09879355771707046,0.12059292934178072
1016.png,PruneSID,336,336,77,71,8203.0,47067.0,13916,41354,0.17428346824739202,0.19836049717076945
1017.png,DRIP,336,336,46,72,4680.0,39288.0,14112,29856,0.11912034208918754,0.1567524115755627
1017.png,Fixed,336,336,46,72,3638.0,40330.0,14112,29856,0.09020580213240764,0.12185155412647374
1017.png,PruneSID,336,336,46,71,7068.0,36704.0,13916,29856,0.19256756756756757,0.2367363344051447
1018.png,DRIP,336,336,40,73,4037.0,36090.0,14308,25819,0.11185924078692158,0.15635772105813547
