image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
1012.png,DRIP,336,336,1,59,312.0,13037.0,11564,1785,0.023931886170131166,0.17478991596638654
1012.png,Fixed,336,336,1,57,56.0,12901.0,11172,1785,0.004340748779164406,0.03137254901960784
1012.png,PruneSID,336,336,1,57,606.0,12351.0,11172,1785,0.04906485304833617,0.33949579831932775
1013.png,DRIP,336,336,1,59,312.0,13037.0,11564,1785,0.023931886170131166,0.17478991596638654
1013.png,Fixed,336,336,1,57,56.0,12901.0,11172,1785,0.004340748779164406,0.03137254901960784
1013.png,PruneSID,336,336,1,57,368.0,12589.0,11172,1785,0.029231869092064502,0.2061624649859944
1014.png,DRIP,336,336,17,59,4258.0,50541.0,11564,43235,0.08424843196612651,0.09848502370764427
1014.png,Fixed,336,336,17,57,4101.0,50306.0,11172,43235,0.08152109092354788,0.09485370648779924
1014.png,PruneSID,336,336,17,57,7692.0,46715.0,11172,43235,0.16465803275179278,0.17791141436336302
1015.png,DRIP,336,336,17,59,4258.0,50541.0,11564,43235,0.08424843196612651,0.09848502370764427
1015.png,Fixed,336,336,17,57,4101.0,50306.0,11172,43235,0.08152109092354788,0.09485370648779924
1015.png,PruneSID,336,336,17,57,7626.0,46781.0,11172,43235,0.16301489921121823,0.17638487336648548
1018.png,DRIP,336,336,17,59,4258.0,50541.0,11564,43235,0.08424843196612651,0.09848502370764427
1018.png,Fixed,336,336,17,57,4101.0,50306.0,11172,43235,0.08152109092354788,0.09485370648779924
1018.png,PruneSID,336,336,17,57,7378.0,47029.0,11172,43235,0.15688192391928385,0.17064877992367294
1020.png,DRIP,336,336,17,59,4258.0,50541.0,11564,43235,0.08424843196612651,0.09848502370764427
1020.png,Fixed,336,336,17,57,4101.0,50306.0,11172,43235,0.08152109092354788,0.09485370648779924
1020.png,PruneSID,336,336,17,57,7361.0,47046.0,11172,43235,0.15646388640904646,0.17025557996993176
