image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
ChartQA/test/png/00795994017065.png,DRIP,336,336,21,73,5021.0,23544.0,14308,14257,0.2132602786272511,0.352177877533843
ChartQA/test/png/00795994017065.png,Fixed,336,336,21,72,1961.0,26408.0,14112,14257,0.0742578006664647,0.137546468401487
ChartQA/test/png/01499440003158.png,DRIP,336,336,30,73,4757.0,29640.0,14308,20089,0.16049257759784075,0.23679625665787246
ChartQA/test/png/01499440003158.png,Fixed,336,336,30,72,2500.0,31701.0,14112,20089,0.0788618655562916,0.12444621434615959
ChartQA/test/png/04960398003706.png,DRIP,336,336,12,72,4393.0,18532.0,14112,8813,0.23704942801640405,0.4984681720186089
ChartQA/test/png/04960398003706.png,Fixed,336,336,12,72,998.0,21927.0,14112,8813,0.04551466228850276,0.11324180188358107
ChartQA/test/png/10146.png,DRIP,336,336,37,73,6297.0,35450.0,14308,27439,0.17763046544428773,0.2294908706585517
ChartQA/test/png/10146.png,Fixed,336,336,37,72,3052.0,38499.0,14112,27439,0.07927478635808723,0.11122854331426073
ChartQA/test/png/13543.png,DRIP,336,336,46,73,8059.0,39820.0,14308,33571,0.20238573581115019,0.24005838372404753
ChartQA/test/png/13543.png,Fixed,336,336,46,72,4742.0,42941.0,14112,33571,0.11043059081064717,0.14125286705787735
ChartQA/test/png/19773854001562.png,DRIP,336,336,11,72,3703.0,18500.0,14112,8091,0.20016216216216215,0.45766901495488815
ChartQA/test/png/19773854001562.png,Fixed,336,336,11,72,1243.0,20960.0,14112,8091,0.05930343511450382,0.153627487331603
ChartQA/test/png/26282467018528.png,DRIP,336,336,22,72,5189.0,23352.0,14112,14429,0.2222079479273724,0.3596229814955991
ChartQA/test/png/26282467018528.png,Fixed,336,336,22,72,1920.0,26621.0,14112,14429,0.07212351151346681,0.13306535449442095
ChartQA/test/png/32315911008749.png,DRIP,336,336,22,73,4802.0,26651.0,14308,17145,0.18018085625304867,0.2800816564596092
ChartQA/test/png/32315911008749.png,Fixed,336,336,22,72,1954.0,29303.0,14112,17145,0.06668259222605194,0.11396908719743365
ChartQA/test/png/32511750001973.png,DRIP,336,336,20,73,4262.0,21254.0,14308,11208,0.20052695963112827,0.38026409707351894
ChartQA/test/png/32511750001973.png,Fixed,336,336,20,72,1458.0,23862.0,14112,11208,0.06110133266281116,0.13008565310492506
ChartQA/test/png/33677405003863.png,DRIP,336,336,16,73,4792.0,27008.0,14308,17492,0.17742890995260663,0.2739538074548365
ChartQA/test/png/33677405003863.png,Fixed,336,336,16,72,2179.0,29425.0,14112,17492,0.07405267629566695,0.12457123256345758
ChartQA/test/png/39067786005185.png,DRIP,336,336,16,73,3953.0,21633.0,14308,11278,0.18273008829103685,0.3505054087604185
ChartQA/test/png/39067786005185.png,Fixed,336,336,16,72,1555.0,23835.0,14112,11278,0.06524019299349695,0.13787905657031388
ChartQA/test/png/3960.png,DRIP,336,336,64,72,6452.0,43747.0,14112,36087,0.14748439893021237,0.17879014603596863
ChartQA/test/png/3960.png,Fixed,336,336,64,72,4580.0,45619.0,14112,36087,0.10039676450601723,0.1269155097403497
ChartQA/test/png/4178.png,DRIP,336,336,17,73,1699.0,18410.0,14308,5801,0.09228680065181967,0.29288053783830376
ChartQA/test/png/4178.png,Fixed,336,336,17,72,684.0,19229.0,14112,5801,0.03557127255707525,0.1179107050508533
ChartQA/test/png/427.png,DRIP,336,336,54,73,6832.0,39014.0,14308,31538,0.17511662480135337,0.21662756040332298
ChartQA/test/png/427.png,Fixed,336,336,54,72,4153.0,41497.0,14112,31538,0.1000795238209991,0.13168241486460777
ChartQA/test/png/4643.png,DRIP,336,336,28,73,5842.0,26301.0,14308,17835,0.22212083190753204,0.32755817213344546
ChartQA/test/png/4643.png,Fixed,336,336,28,72,2307.0,29640.0,14112,17835,0.077834008097166,0.1293523969722456
ChartQA/test/png/4735.png,DRIP,336,336,19,73,2469.0,23300.0,14308,11461,0.1059656652360515,0.21542622807782916
ChartQA/test/png/4735.png,Fixed,336,336,19,72,1857.0,23716.0,14112,11461,0.07830156856130882,0.162027746269959
ChartQA/test/png/50565869004099.png,DRIP,336,336,15,73,6124.0,23685.0,14308,15501,0.2585602702132151,0.3950712857235017
ChartQA/test/png/50565869004099.png,Fixed,336,336,15,72,2366.0,27247.0,14112,15501,0.08683524791720189,0.1526353138507193
