image,dataset_name,question_type,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
0,rico,APP agent en,DRIP,336,336,30,144,5792.0,38871.0,28224,16439,0.14900568547246018,0.3523328669627106
0,rico,APP agent en,Fixed,336,336,30,144,4578.0,40085.0,28224,16439,0.1142073094673818,0.278484092706369
1,rico,APP agent en,DRIP,336,336,7,144,4818.0,31176.0,28224,7770,0.15454195535026943,0.6200772200772201
1,rico,APP agent en,Fixed,336,336,7,144,1964.0,34030.0,28224,7770,0.05771378195709668,0.25276705276705275
2,rico,APP agent en,DRIP,336,336,15,144,6387.0,32544.0,28224,10707,0.19625737463126844,0.5965256374334548
2,rico,APP agent en,Fixed,336,336,15,144,2389.0,36542.0,28224,10707,0.06537682666520715,0.22312505837302699
3,rico,APP agent en,DRIP,336,336,7,144,4881.0,34922.0,28224,11579,0.13976862722639025,0.42153899300457726
3,rico,APP agent en,Fixed,336,336,7,144,3174.0,36629.0,28224,11579,0.08665265227005925,0.27411693583210983
4,rico,APP agent en,DRIP,336,336,26,144,8941.0,39373.0,28224,20090,0.2270845503263658,0.445047287207566
4,rico,APP agent en,Fixed,336,336,26,144,4992.0,43322.0,28224,20090,0.11523013711278335,0.24848183175709307
5,rico,APP agent en,DRIP,336,336,6,144,5287.0,29843.0,28224,6906,0.17716047314278055,0.7655661743411526
5,rico,APP agent en,Fixed,336,336,6,144,1743.0,33387.0,28224,6906,0.052205948423038905,0.2523892267593397
6,rico,APP agent en,DRIP,336,336,16,144,5380.0,34686.0,28224,11842,0.15510580637721272,0.4543151494679953
6,rico,APP agent en,Fixed,336,336,16,144,2856.0,37210.0,28224,11842,0.07675356087073368,0.24117547711535214
7,rico,APP agent en,DRIP,336,336,27,144,8897.0,41427.0,28224,22100,0.21476331860863687,0.402579185520362
7,rico,APP agent en,Fixed,336,336,27,144,5902.0,44422.0,28224,22100,0.13286209535815588,0.26705882352941174
8,rico,APP agent en,DRIP,336,336,11,144,4097.0,32256.0,28224,8129,0.12701512896825398,0.5039980317382212
8,rico,APP agent en,Fixed,336,336,11,144,2172.0,34181.0,28224,8129,0.06354407419326527,0.26719153647435107
9,rico,APP agent en,DRIP,336,336,45,145,11282.0,41738.0,28420,24600,0.2703052374335138,0.4586178861788618
9,rico,APP agent en,Fixed,336,336,45,144,6483.0,46341.0,28224,24600,0.13989771476662136,0.26353658536585367
10,rico,APP agent en,DRIP,336,336,20,145,7369.0,33334.0,28420,12283,0.22106557868842625,0.5999348693315966
10,rico,APP agent en,Fixed,336,336,20,144,3052.0,37455.0,28224,12283,0.08148444800427179,0.24847349995929333
11,rico,APP agent en,DRIP,336,336,59,144,12544.0,47396.0,28224,31716,0.2646636846991307,0.39551015260436373
11,rico,APP agent en,Fixed,336,336,59,144,7969.0,51971.0,28224,31716,0.1533355140366743,0.25126119308866185
12,rico,APP agent en,DRIP,336,336,43,144,11484.0,41023.0,28224,24283,0.2799405211710504,0.47292344438496065
12,rico,APP agent en,Fixed,336,336,43,144,6360.0,46147.0,28224,24283,0.13782044336576593,0.2619116254169584
13,rico,APP agent en,DRIP,336,336,46,145,15152.0,52749.0,28420,39481,0.28724715160476977,0.38377953952534133
13,rico,APP agent en,Fixed,336,336,46,144,9736.0,57969.0,28224,39481,0.16795183632631233,0.24659963020186926
14,rico,APP agent en,DRIP,336,336,11,144,4063.0,33183.0,28224,9022,0.12244221438688485,0.4503436045222789
14,rico,APP agent en,Fixed,336,336,11,144,2568.0,34678.0,28224,9022,0.0740527135359594,0.28463755264908003
15,rico,APP agent en,DRIP,336,336,3,144,7623.0,31857.0,28224,11256,0.23928806855636123,0.6772388059701493
15,rico,APP agent en,Fixed,336,336,3,144,3161.0,36319.0,28224,11256,0.08703433464577769,0.2808280028429282
16,rico,APP agent en,DRIP,336,336,45,144,10253.0,47058.0,28224,29087,0.21788006290110076,0.35249424141368996
16,rico,APP agent en,Fixed,336,336,45,144,7271.0,50040.0,28224,29087,0.14530375699440448,0.24997421528517894
17,rico,APP agent en,DRIP,336,336,53,144,17942.0,54959.0,28224,44677,0.3264615440601175,0.40159366116793876
17,rico,APP agent en,Fixed,336,336,53,144,11302.0,61599.0,28224,44677,0.18347700449682625,0.25297132752870605
18,rico,APP agent en,DRIP,336,336,9,144,3670.0,30967.0,28224,6413,0.11851325604675945,0.5722750662716357
18,rico,APP agent en,Fixed,336,336,9,144,1536.0,33101.0,28224,6413,0.04640343192048579,0.23951348822703883
19,rico,APP agent en,DRIP,336,336,14,144,4149.0,34273.0,28224,10198,0.12105739211624311,0.40684447930966855
19,rico,APP agent en,Fixed,336,336,14,144,2543.0,35879.0,28224,10198,0.07087711474678782,0.24936262012159247
20,rico,APP agent en,DRIP,336,336,43,144,7129.0,43563.0,28224,22468,0.1636480499506462,0.3172957094534449
20,rico,APP agent en,Fixed,336,336,43,144,5967.0,44725.0,28224,22468,0.13341531581889324,0.26557771052163076
21,rico,APP agent en,DRIP,336,336,5,144,9742.0,32877.0,28224,14395,0.29631657389664506,0.6767627648489059
21,rico,APP agent en,Fixed,336,336,5,144,3389.0,39230.0,28224,14395,0.08638796839153709,0.23542896839180272
22,rico,APP agent en,DRIP,336,336,10,144,3830.0,32651.0,28224,8257,0.11730115463538636,0.46384885551653143
22,rico,APP agent en,Fixed,336,336,10,144,2100.0,34381.0,28224,8257,0.06108024781129112,0.2543296596826935
23,rico,APP agent en,DRIP,336,336,12,144,6064.0,35907.0,28224,13747,0.16888071963683962,0.441114424965447
23,rico,APP agent en,Fixed,336,336,12,144,3541.0,38430.0,28224,13747,0.0921415560759823,0.2575834727576926
24,rico,APP agent en,DRIP,336,336,12,144,4222.0,34628.0,28224,10626,0.12192445419891418,0.3973273103707886
