image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
0004c9478eeda995.jpg,DRIP,336,336,5,145,2073.0,30070.0,28420,3723,0.06893914200199534,0.556809024979855
0004c9478eeda995.jpg,Fixed,336,336,5,144,1083.0,30864.0,28224,3723,0.035089424572317264,0.2908944399677679
00054dab88635bdb.jpg,DRIP,336,336,3,145,1137.0,28723.0,28420,1440,0.03958500156668872,0.7895833333333333
00054dab88635bdb.jpg,Fixed,336,336,3,144,222.0,29442.0,28224,1440,0.007540248624414102,0.15416666666666667
000adfe5b817011c.jpg,DRIP,336,336,6,144,2316.0,29618.0,28224,3710,0.07819569180903505,0.6242587601078167
000adfe5b817011c.jpg,Fixed,336,336,6,144,1347.0,30587.0,28224,3710,0.04403831693202995,0.3630727762803235
000fd38f35d0ad0c.jpg,DRIP,336,336,20,145,4227.0,33948.0,28420,9755,0.12451396253092965,0.43331624807790875
000fd38f35d0ad0c.jpg,Fixed,336,336,20,144,2422.0,35557.0,28224,9755,0.06811598278819923,0.24828293182983086
001512d120e1e800.jpg,DRIP,336,336,3,145,1138.0,29937.0,28420,2655,0.038013160971373215,0.42862523540489644
001512d120e1e800.jpg,Fixed,336,336,3,144,668.0,30211.0,28224,2655,0.02211115156730992,0.25160075329566856
00155bc9538a26ed.jpg,DRIP,336,336,0,145,,,28420,0,,
00155bc9538a26ed.jpg,Fixed,336,336,0,144,,,28224,0,,
00165f9e139aedaf.jpg,DRIP,336,336,9,145,9046.0,35643.0,28420,16269,0.2537945739696434,0.5560267994345074
00165f9e139aedaf.jpg,Fixed,336,336,9,144,3910.0,40583.0,28224,16269,0.09634576054012764,0.24033437826541273
0017c0c45277ee1a.jpg,DRIP,336,336,41,144,5417.0,46542.0,28224,23735,0.1163894976580293,0.22822835475036865
0017c0c45277ee1a.jpg,Fixed,336,336,41,144,6430.0,45529.0,28224,23735,0.1412286674427288,0.2709079418580156
001ce300279f1a81.jpg,DRIP,336,336,1,145,392.0,29237.0,28420,1209,0.01340766836542737,0.3242349048800662
001ce300279f1a81.jpg,Fixed,336,336,1,144,434.0,28999.0,28224,1209,0.0149660333114935,0.358974358974359
001e68b987a389d5.jpg,DRIP,336,336,0,144,,,28224,0,,
001e68b987a389d5.jpg,Fixed,336,336,0,144,,,28224,0,,
0021804a9f9d5db6.jpg,DRIP,336,336,1,144,1442.0,29232.0,28224,2450,0.04932950191570881,0.5885714285714285
0021804a9f9d5db6.jpg,Fixed,336,336,1,144,490.0,30184.0,28224,2450,0.016233766233766232,0.2
0024fa464b466993.jpg,DRIP,336,336,2,144,700.0,29414.0,28224,1890,0.023798191337458353,0.37037037037037035
0024fa464b466993.jpg,Fixed,336,336,2,144,434.0,29680.0,28224,1890,0.014622641509433962,0.22962962962962963
002a1fb97133ae95.jpg,DRIP,336,336,8,145,12995.0,41650.0,28420,26225,0.3120048019207683,0.49551954242135365
002a1fb97133ae95.jpg,Fixed,336,336,8,144,6683.0,47766.0,28224,26225,0.13991123393208557,0.25483317445185893
